kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_impact,koi_duration,koi_depth,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_prad_log
10797460,K00752.01,Kepler-227 b,CONFIRMED,2.26,9.48803557,0.146,2.9575,615.8,793.0,93.59,35.8,5455.0,4.467,0.927,291.93423,48.141651,15.347,1.1817271953786161
10797460,K00752.02,Kepler-227 c,CONFIRMED,2.83,54.4183827,0.586,4.507,874.8,443.0,9.11,25.8,5455.0,4.467,0.927,291.93423,48.141651,15.347,1.3428648031925547
10811496,K00753.01,,CANDIDATE,14.6,19.89913995,0.969,1.7822,10829.0,638.0,39.3,76.3,5853.0,4.544,0.868,297.00482,48.134129,15.436,2.747270914255491
10848459,K00754.01,,FALSE POSITIVE,33.46,1.736952453,1.276,2.40641,8079.2,1395.0,891.96,505.6,5805.0,4.564,0.791,285.53461,48.28521,15.597,3.5397992310997837
10854555,K00755.01,Kepler-664 b,CONFIRMED,2.75,2.525591777,0.701,1.6545,603.3,1406.0,926.16,40.9,6031.0,4.438,1.046,288.75488,48.2262,15.509,1.3217558399823195
10872983,K00756.01,Kepler-228 d,CONFIRMED,3.9,11.09432054,0.538,4.5945,1517.5,835.0,114.81,66.5,6046.0,4.486,0.972,296.28613,48.22467,15.714,1.589235205116581
10872983,K00756.02,Kepler-228 c,CONFIRMED,2.77,4.13443512,0.762,3.1402,686.0,1160.0,427.65,40.2,6046.0,4.486,0.972,296.28613,48.22467,15.714,1.3270750014599193
10872983,K00756.03,Kepler-228 b,CONFIRMED,1.59,2.56658897,0.755,2.429,226.5,1360.0,807.74,15.0,6046.0,4.486,0.972,296.28613,48.22467,15.714,0.9516578757114464
6721123,K00114.01,,FALSE POSITIVE,39.21,7.36178958,1.169,5.022,233.7,1342.0,767.22,47.7,6227.0,3.986,1.958,298.86435,42.151569,12.66,3.6941157209091826
10910878,K00757.01,Kepler-229 c,CONFIRMED,5.76,16.06864674,0.052,3.5347,4914.3,600.0,30.75,161.9,5031.0,4.485,0.848,286.99948,48.37579,15.841,1.9110228900548727
11446443,K00001.01,Kepler-1 b,CONFIRMED,13.04,2.470613377,0.818,1.74319,14231.0,1339.0,761.46,4304.3,5820.0,4.457,0.964,286.80847,49.316399,11.338,2.641910398597665
10666592,K00002.01,Kepler-2 b,CONFIRMED,16.1,2.204735417,0.224,3.88864,6674.7,2048.0,4148.92,5945.9,6440.0,4.019,1.952,292.24728,47.969521,10.463,2.8390784635086144
6922244,K00010.01,Kepler-8 b,CONFIRMED,14.59,3.522498429,0.631,3.19843,9145.7,1521.0,1264.67,1741.5,6225.0,4.169,1.451,281.28812,42.45108,13.563,2.7466296830696852
10984090,K00112.02,Kepler-466 c,CONFIRMED,1.16,3.709214104,0.051,2.6302,131.1,1206.0,500.46,50.6,5833.0,4.407,1.022,295.64871,48.49556,12.772,0.7701082216960736
10419211,K00742.01,,FALSE POSITIVE,150.51,11.521446064,2.483,3.6399,17984.0,753.0,75.88,622.1,5795.0,4.554,0.848,297.07993,47.597401,15.472,5.020651629371744
10464078,K00743.01,,FALSE POSITIVE,7.18,19.40393776,0.804,12.2155,8918.7,523.0,17.69,214.7,5043.0,4.591,0.68,289.25821,47.635319,15.487,2.1016921506146558
10480982,K00744.01,,FALSE POSITIVE,49.29,19.221388942,1.065,4.79843,74284.0,698.0,55.97,2317.0,6117.0,4.496,0.947,295.81454,47.69035,15.341,3.9178062501838733
10485250,K00745.01,,FALSE POSITIVE,7.94,16.46983774,0.292,9.4378,10479.0,595.0,29.61,303.4,5152.0,4.517,0.786,297.15442,47.668701,15.788,2.190535589185423
10526549,K00746.01,Kepler-660 b,CONFIRMED,2.47,9.27358173,0.387,3.2875,1288.3,649.0,41.85,87.2,4856.0,4.583,0.696,288.13824,47.724449,15.302,1.244154593958768
10583066,K00747.01,Kepler-661 b,CONFIRMED,2.85,6.02930329,0.258,1.5821,1912.7,678.0,50.04,65.4,4537.0,4.648,0.672,283.71088,47.86327,15.784,1.3480731482996928
10583180,K00748.01,,FALSE POSITIVE,1.58,2.696370652,0.044,3.6129,397.9,1066.0,305.34,48.2,4989.0,4.504,0.819,283.76547,47.804298,15.269,0.9477893989335261
10601284,K00749.01,Kepler-226 c,CONFIRMED,2.55,5.349553819,0.092,3.0278,831.0,919.0,168.99,60.6,5185.0,4.44,0.91,292.37613,47.880989,15.416,1.2669476034873244
