pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,ra,dec
11 Com b,11 Com,Radial Velocity,2007.0,Xinglong Station,323.21,12.2,4914.89848585,,4874.0,13.76,2.09,93.1846,185.1787793,17.7932516
11 UMi b,11 UMi,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,516.21997,12.3,4684.8142,,4213.0,29.79,2.78,125.321,229.2745954,71.8239428
14 And b,14 And,Radial Velocity,2008.0,Okayama Astrophysical Observatory,186.76,13.1,1131.15130051,,4888.0,11.55,1.78,75.4392,352.82415,39.2358367
14 Her b,14 Her,Radial Velocity,2002.0,W. M. Keck Observatory,1766.41,12.5,2828.6728223,,5338.0,0.93,0.97,17.9323,242.6021014,43.8163621
16 Cyg B b,16 Cyg B,Radial Velocity,1996.0,Multiple Observatories,798.5,13.5,565.7374,,5750.0,1.13,1.08,21.1397,295.4656422,50.5168243
17 Sco b,17 Sco,Radial Velocity,2020.0,Lick Observatory,578.38,12.9,1373.01871824,,4157.0,25.92,1.22,124.953,243.4620874,-11.8377905
18 Del b,18 Del,Radial Velocity,2008.0,Okayama Astrophysical Observatory,982.85,12.5,2926.24614325,,4980.0,8.8,2.1,76.222,314.6078375,10.8391378
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008.0,Gemini Observatory,,18.647,3000.0,1700.0,4060.0,1.31316,0.85,139.135,242.3762343,-21.0831403
24 Boo b,24 Boo,Radial Velocity,2018.0,Okayama Astrophysical Observatory,30.33,13.9,280.64248338,,4816.0,12.19,1.05,95.9863,217.1555242,49.8446488
24 Sex b,24 Sex,Radial Velocity,2010.0,Lick Observatory,452.8,13.4,632.46,,5098.0,4.9,1.54,72.0691,155.8684866,-0.9023998
24 Sex c,24 Sex,Radial Velocity,2010.0,Lick Observatory,883.0,13.9,273.32,,5098.0,4.9,1.54,72.0691,155.8684866,-0.9023998
2M0437 b,2MASS J04372171+2651014,Imaging,2021.0,Subaru Telescope,,13.0,1271.313628,1450.0,3100.0,0.84,0.17,128.484,69.3405531,26.8502997
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013.0,Paranal Observatory,,12.3,4131.79,,,,0.19,47.2,15.8992489,-55.2658291
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013.0,W. M. Keck Observatory,,11.209,7786.5,1600.0,3530.0,0.36645,0.4,33.8281,20.7128012,-24.6646128
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015.0,Cerro Tololo Inter-American Observatory,,16.14096,4417.837,,3064.0,0.281,0.108,40.08964117,34.8427046,-39.4230767
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018.0,Mauna Kea Observatory,,17.37392009,3616.88727166,1723.0,2859.0,0.315959,0.046,66.0613,42.4851627,-5.9599921
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,12.2,5720.911326,2369.0,2943.0,0.289776,0.264996,117.435,59.7911026,20.1599759
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010.0,Hubble Space Telescope,,12.6,2383.6,,2936.0,0.231916,0.019,120.42398696,70.4371079,23.0308544
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,11.9,8899.195396,2677.0,,,,,165.3295388,-77.5440912
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,12.1,6356.56814,2506.0,3021.0,0.600455,0.58846,100.862,178.7691634,-79.3197558
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004.0,Paranal Observatory,,15.69257298,1652.7077164,1163.0,2825.0,0.21887,0.188001,64.308,181.8890906,-39.5484399
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015.0,Kepler,406.0,13.4,603.877,,29564.0,0.203,0.48,396.332,294.6359173,46.0664076
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,,12.4,3813.940884,1616.0,3592.0,0.672832,0.643977,34.1154,321.3662989,-81.6414894
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016.0,W. M. Keck Observatory,,12.3,3972.875,,4045.0,0.641152,0.6,69.5737,339.1025931,47.861683
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,2018.0,The 2 (Two) Micron All Sky Survey (2MASS),,11.9,9534.85221,1600.0,3352.0,0.437589,0.433173,57.2309,342.5634097,23.4259058
4 UMa b,4 UMa,Radial Velocity,2006.0,Thueringer Landessternwarte Tautenburg,270.27,12.6,2511.48007211,,4415.0,18.11,1.234,73.4603,130.0528099,64.3280504
47 UMa b,47 UMa,Radial Velocity,1996.0,Lick Observatory,1078.0,13.2,804.08,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931
47 UMa c,47 UMa,Radial Velocity,2001.0,Lick Observatory,2391.0,14.2,171.621,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931
47 UMa d,47 UMa,Radial Velocity,2009.0,Lick Observatory,14002.0,13.5,521.22,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931
51 Eri b,51 Eri,Imaging,2015.0,Gemini Observatory,9100.0,,3464.3296363,807.0,7422.0,1.45,1.75,29.7575,69.4007424,-2.4738245
51 Peg b,51 Peg,Radial Velocity,1995.0,Haute-Provence Observatory,4.230785,14.3,146.2018,,5758.0,1.17561,1.03,15.4614,344.3675399,20.7690958
55 Cnc B b,55 Cnc B,Radial Velocity,2025.0,Mauna Kea Observatory,6.7994,1.69,3.5,,3286.0,0.274,0.26,12.4773,133.167908,28.3152863
55 Cnc B c,55 Cnc B,Radial Velocity,2025.0,Mauna Kea Observatory,33.747,2.16,5.3,,3286.0,0.274,0.26,12.4773,133.167908,28.3152863
55 Cnc b,55 Cnc,Radial Velocity,1996.0,Lick Observatory,14.651552,13.9,263.9785,700.0,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154
55 Cnc c,55 Cnc,Radial Velocity,2004.0,McDonald Observatory,44.3936,8.51,54.4738,,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154
55 Cnc d,55 Cnc,Radial Velocity,2002.0,Lick Observatory,4799.0,13.0,1232.493,,5198.0,0.98,1.015,12.5855,133.1468373,28.3298154
